,REF_DATE,GEO,New housing price indexes,UOM,HPI_ottawa_gatineau_ont
0,1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",30.8
1,1981-02,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",30.8
2,1981-03,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",31.9
3,1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",32.0
4,1981-05,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",32.7
5,1981-06,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",33.5
6,1981-07,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",33.5
7,1981-08,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",33.9
8,1981-09,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",33.9
9,1981-10,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",33.9
10,1981-11,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",35.2
11,1981-12,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",35.2
12,1982-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",36.0
13,1982-02,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",36.2
14,1982-03,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",36.1
15,1982-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",36.3
16,1982-05,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",36.3
17,1982-06,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",36.3
